town,slum,localnbc,pid,townid,nbc,oid_1,sluc,u_id,countyid,name,streetaddress,parceloid,nh_gis_id,displayid,SHAPE__Length,slu,objectid,SHAPE__Area
Portsmouth,,114,0268-0069-0000,178,14,,11,178-31590,8,CamaID: 0268-0069-0000,305 GRANT AVE,485544,08178-0268-0069-0000,0268-0069-0000,726.886752143321,11,179429,33021.5559608444
Portsmouth,,307,0309-0001-0000,178,63,,34,178-37875,8,CamaID: 0309-0001-0000,139 FLIGHT LINE RD,485545,08178-0309-0001-0000,0309-0001-0000,2020.97130835588,34,179430,240926.102949857
Portsmouth,,307,0320-0001-0000,178,63,,45,178-38871,8,CamaID: 0320-0001-0000,115 FLIGHT LINE RD,485546,08178-0320-0001-0000,0320-0001-0000,1873.97812937685,45,179431,216182.007968353
Portsmouth,,129,0237-0081-0000,178,25,,11,178-52166,8,CamaID: 0237-0081-0000,220 WOODLAWN CIR,485547,08178-0237-0081-0000,0237-0081-0000,578.39478317862,11,179432,18601.5514501961
Portsmouth,,129,0174-0016-0000,178,25,,57,178-35276,8,CamaID: 0174-0016-0000,113 COTTAGE ST,485548,08178-0174-0016-0000,0174-0016-0000,448.920326868358,57,179433,12445.6761873144
Portsmouth,,302,0174-0013-0000,178,57,,23,178-37645,8,CamaID: 0174-0013-0000,BOYD RD,485549,08178-0174-0013-0000,0174-0013-0000,283.471797252544,23,179434,2982.31768378583
Portsmouth,,129,0174-0018-0000,178,25,,11,178-35278,8,CamaID: 0174-0018-0000,51 COTTAGE ST,485550,08178-0174-0018-0000,0174-0018-0000,407.681881226584,11,179435,10376.6679719462
Portsmouth,,131,0174-0001-0000,178,27,,11,178-35265,8,CamaID: 0174-0001-0000,110 WOODBURY AVE,485551,08178-0174-0001-0000,0174-0001-0000,296.53325018273,11,179436,5024.27283520978
Portsmouth,,129,0174-0008-0000,178,25,,11,178-35271,8,CamaID: 0174-0008-0000,123 BOYD RD,485552,08178-0174-0008-0000,0174-0008-0000,541.286335493553,11,179437,11174.5101299226
Portsmouth,,129,0174-0007-0000,178,25,,11,178-35270,8,CamaID: 0174-0007-0000,121 BOYD RD,485553,08178-0174-0007-0000,0174-0007-0000,483.309768229096,11,179438,9567.97125233314
